psgc_code,name,corr_code,geo_level,city_class,inc_class,urb_rur,pop_2015,pop_2020,status,adm3_pcode,adm3_en,adm3_alt,adm2_pcode,adm1_pcode,adm0_pcode,shape_len,shape_area,shape_sqkm,_count,_sum,_mean,_min,_max,_variance,year
1003501000,Bacolod,103501000.0,Mun,,,4th,,,,PH1003501,Bacolod,,PH10035,PH10,PH,0.615627886882,0.00520029450103,63.3812514006,299.0,0.0,0.0,0.0,0.0,0.0,2011
1003502000,Baloi,103502000.0,Mun,,,3rd,,,,PH1003502,Baloi,,PH10035,PH10,PH,0.454785942967,0.00531338284903,64.7648285316,306.0,20.18732833862305,0.06597166123733021,0.0,4.67631721496582,0.2062441510551358,2011
1003503000,Baroy,103503000.0,Mun,,,4th,,,,PH1003503,Baroy,,PH10035,PH10,PH,0.569558963596,0.00403471130951,49.1954846178,237.0,0.0,0.0,0.0,0.0,0.0,2011
1003505000,Kapatagan,103505000.0,Mun,,,2nd,,,,PH1003505,Kapatagan,,PH10035,PH10,PH,0.864851784434,0.0110377441021,134.611257589,649.0,0.0,0.0,0.0,0.0,0.0,2011
1003506000,Sultan Naga Dimaporo,103506000.0,Mun,Karomatan,,3rd,,,,PH1003506,Sultan Naga Dimaporo (Karomatan),Karomatan,PH10035,PH10,PH,0.977098770784,0.0171823729569,209.596994559,992.0,0.0,0.0,0.0,0.0,0.0,2011
1003507000,Kauswagan,103507000.0,Mun,,,5th,,,,PH1003507,Kauswagan,,PH10035,PH10,PH,0.579654225847,0.00577691572351,70.4096855234,333.0,0.0,0.0,0.0,0.0,0.0,2011
1003508000,Kolambugan,103508000.0,Mun,,,4th,,,,PH1003508,Kolambugan,,PH10035,PH10,PH,0.605562106108,0.00546231645408,66.5846760963,314.0,0.0,0.0,0.0,0.0,0.0,2011
1003509000,Lala,103509000.0,Mun,,,1st,,,,PH1003509,Lala,,PH10035,PH10,PH,0.793279862297,0.0100728612718,122.826364428,572.0,0.0,0.0,0.0,0.0,0.0,2011
1003510000,Linamon,103510000.0,Mun,,,5th,,,,PH1003510,Linamon,,PH10035,PH10,PH,0.21228934477,0.00151928021994,18.5162310419,86.0,0.0,0.0,0.0,0.0,0.0,2011
1003511000,Magsaysay,103511000.0,Mun,,,5th,,,,PH1003511,Magsaysay,,PH10035,PH10,PH,0.593188259793,0.00737132226736,89.87164921,427.0,0.0,0.0,0.0,0.0,0.0,2011
1003512000,Maigo,103512000.0,Mun,,,4th,,,,PH1003512,Maigo,,PH10035,PH10,PH,0.519565452174,0.00745557064434,90.8765165921,424.0,0.0,0.0,0.0,0.0,0.0,2011
1003513000,Matungao,103513000.0,Mun,,,5th,,,,PH1003513,Matungao,,PH10035,PH10,PH,0.31077345244,0.00285066851334,34.7464299851,167.0,0.03024191036820412,0.0001810892836419408,0.0,0.03024191036820412,5.44369255589189e-06,2011
1003514000,Munai,103514000.0,Mun,,,4th,,,,PH1003514,Munai,,PH10035,PH10,PH,0.661840623575,0.0114867158557,140.043947298,664.0,0.0,0.0,0.0,0.0,0.0,2011
1003515000,Nunungan,103515000.0,Mun,,,3rd,,,,PH1003515,Nunungan,,PH10035,PH10,PH,0.631864494668,0.0180001993903,219.574558033,1038.0,0.0,0.0,0.0,0.0,0.0,2011
1003516000,Pantao Ragat,103516000.0,Mun,,,4th,,,,PH1003516,Pantao Ragat,,PH10035,PH10,PH,0.456719517688,0.0040941376228,49.9115079789,235.0,0.0,0.0,0.0,0.0,0.0,2011
1003517000,Poona Piagapo,103517000.0,Mun,,,4th,,,,PH1003517,Poona Piagapo,,PH10035,PH10,PH,0.452375984048,0.00535163404861,65.234402518,307.0,0.0,0.0,0.0,0.0,0.0,2011
1003518000,Salvador,103518000.0,Mun,,,5th,,,,PH1003518,Salvador,,PH10035,PH10,PH,0.443579884022,0.00753756542782,91.9223127479,436.0,0.0,0.0,0.0,0.0,0.0,2011
1003519000,Sapad,103519000.0,Mun,,,5th,,,,PH1003519,Sapad,,PH10035,PH10,PH,0.497300938522,0.00962554441948,117.404646399,550.0,0.0,0.0,0.0,0.0,0.0,2011
1003520000,Tagoloan,103520000.0,Mun,,,5th,,,,PH1003520,Tagoloan,,PH10035,PH10,PH,0.594536796382,0.00888963149743,108.344637682,516.0,0.0,0.0,0.0,0.0,0.0,2011
1003521000,Tangcal,103521000.0,Mun,,,5th,,,,PH1003521,Tangcal,,PH10035,PH10,PH,0.483251149516,0.00568843055199,69.3511217282,333.0,0.0,0.0,0.0,0.0,0.0,2011
1003522000,Tubod,103522000.0,Mun,,,2nd,,,,PH1003522,Tubod (Capital),,PH10035,PH10,PH,0.861363775182,0.0136831246526,166.838344894,782.0,0.008950270712375641,1.144535896723228e-05,0.0,0.008950270712375641,1.023080649151567e-07,2011
1003523000,Pantar,103523000.0,Mun,,,5th,,,,PH1003523,Pantar,,PH10035,PH10,PH,0.349028541271,0.00493485820151,60.1552652698,286.0,0.0,0.0,0.0,0.0,0.0,2011
1004201000,Aloran,104201000.0,Mun,,,4th,,,,PH1004201,Aloran,,PH10042,PH10,PH,0.563671953108,0.00904819462854,110.213284108,518.0,0.0,0.0,0.0,0.0,0.0,2011
